"TOA5","AlfaroPeral","CR800","5207","CR800.Std.21","CPU:MNEGRA_PERAL_2011.CR8","36978","Horario"
"TIMESTAMP","RECORD","Temperatura_Avg","Humedad_Avg","Lluvia_Tot","Humec_kOhm_Avg","Tiempo_Humectacion","Bateria_Min"
"TS","RN","grados C","%HR","mm","kOhms","kOhms","Volts"
"","","Avg","Avg","Tot","Avg","Hst,1,1.0000e+00,0.0000e+00,1.5000e+02","Min"
"2013-04-15 07:00:00",7750,11.04,74.41,0,"NAN",0,12.57
"2013-04-15 08:00:00",7751,13.75,63.56,0,"NAN",0,12.95
"2013-04-15 09:00:00",7752,15.63,57.36,0,"NAN",0,13.48
"2013-04-15 10:00:00",7753,17.49,52.49,0,"NAN",0,13.72
"2013-04-15 11:00:00",7754,19.11,47.83,0,"NAN",0,13.66
"2013-04-15 12:00:00",7755,20.47,45.94,0,"NAN",0,13.62
"2013-04-15 13:00:00",7756,21.88,44.61,0,"NAN",0,13.59
"2013-04-15 14:00:00",7757,22.73,43.35,0,"NAN",0,13.58
"2013-04-15 15:00:00",7758,23.91,43.03,0,"NAN",0,13.57
"2013-04-15 16:00:00",7759,24.4,41.63,0,"NAN",0,13.38
"2013-04-15 17:00:00",7760,24.38,42.5,0,"NAN",0,13.44
"2013-04-15 18:00:00",7761,22.76,49.32,0,"NAN",0,12.96
"2013-04-15 19:00:00",7762,19.74,64.99,0,"NAN",0,12.79
"2013-04-15 20:00:00",7763,16,80.6,0,7999,0,12.76
"2013-04-15 21:00:00",7764,14.12,87.3,0,1977,0,12.71
"2013-04-15 22:00:00",7765,12.9,90,0,514.9,0,12.78
"2013-04-15 23:00:00",7766,12.59,90.8,0,402.8,0,12.88
"2013-04-16 00:00:00",7767,12.31,92.3,0,348.8,0.153,12.87
"2013-04-16 01:00:00",7768,12.46,90.8,0,194.2,0.556,12.86
"2013-04-16 02:00:00",7769,11.72,92.8,0,40.51,1,12.85
"2013-04-16 03:00:00",7770,13.23,86.4,0,1430,0.103,12.84
"2013-04-16 04:00:00",7771,12.98,85.6,0,3123,0,12.84
"2013-04-16 05:00:00",7772,11.31,90.8,0,240,0.5,12.84
"2013-04-16 06:00:00",7773,10.71,93.8,0,156.5,0.731,12.6
"2013-04-16 07:00:00",7774,12.28,89,0,7999,0,12.64
"2013-04-16 08:00:00",7775,14.19,81.6,0,"NAN",0,12.97
"2013-04-16 09:00:00",7776,16.5,73.18,0,"NAN",0,13.69
"2013-04-16 10:00:00",7777,18.53,66.72,0,"NAN",0,13.69
"2013-04-16 11:00:00",7778,20.47,58.76,0,"NAN",0,13.64
"2013-04-16 12:00:00",7779,22.51,49.6,0,"NAN",0,13.6
"2013-04-16 13:00:00",7780,24.07,46.51,0,"NAN",0,13.56
"2013-04-16 14:00:00",7781,24.97,43.52,0,"NAN",0,13.54
"2013-04-16 15:00:00",7782,25.33,44.96,0,"NAN",0,13.53
"2013-04-16 16:00:00",7783,25.55,42.74,0,"NAN",0,13.53
"2013-04-16 17:00:00",7784,25.89,43.09,0,"NAN",0,13.28
"2013-04-16 18:00:00",7785,24.9,47.19,0,"NAN",0,12.84
"2013-04-16 19:00:00",7786,21.39,64.6,0,"NAN",0,12.77
"2013-04-16 20:00:00",7787,17.48,81.5,0,7999,0,12.72
"2013-04-16 21:00:00",7788,15.34,86.7,0,2813,0,12.67
"2013-04-16 22:00:00",7789,13.82,90.7,0,674.8,0.386,12.74
"2013-04-16 23:00:00",7790,12.88,93.9,0,24.76,1,12.83
"2013-04-17 00:00:00",7791,12.13,93.3,0,22.89,1,12.81
"2013-04-17 01:00:00",7792,11.18,95.9,0,29.43,1,12.8
"2013-04-17 02:00:00",7793,10.55,96.3,0,33.14,1,12.79
"2013-04-17 03:00:00",7794,10.02,96.8,0,26.68,1,12.78
"2013-04-17 04:00:00",7795,9.17,97.3,0,20.22,1,12.78
"2013-04-17 05:00:00",7796,9.04,97.6,0,15.95,1,12.77
"2013-04-17 06:00:00",7797,9.05,98,0,9.96,1,12.54
"2013-04-17 07:00:00",7798,11.36,97,0,7.018,1,12.57
"2013-04-17 08:00:00",7799,16.07,78.39,0,7999,0.417,12.89
"2013-04-17 09:00:00",7800,17.97,62.52,0,"NAN",0,13.74
"2013-04-17 10:00:00",7801,19.97,56.76,0,"NAN",0,13.67
"2013-04-17 11:00:00",7802,22.43,48.65,0,"NAN",0,13.61
"2013-04-17 12:00:00",7803,24.24,41.89,0,"NAN",0,13.58
"2013-04-17 13:00:00",7804,25.74,41.74,0,"NAN",0,13.55
"2013-04-17 14:00:00",7805,26.95,39.65,0,"NAN",0,13.52
"2013-04-17 15:00:00",7806,27.71,37.38,0,"NAN",0,13.51
"2013-04-17 16:00:00",7807,28.18,36.81,0,"NAN",0,13.46
"2013-04-17 17:00:00",7808,28.35,37.06,0,"NAN",0,13.12
"2013-04-17 18:00:00",7809,26.67,45.35,0,"NAN",0,12.88
"2013-04-17 19:00:00",7810,22.6,57.09,0,"NAN",0,12.78
"2013-04-17 20:00:00",7811,18.76,72.43,0,"NAN",0,12.72
"2013-04-17 21:00:00",7812,16.49,80.3,0,7999,0,12.66
"2013-04-17 22:00:00",7813,15.08,83.1,0,7999,0,12.73
"2013-04-17 23:00:00",7814,13.97,87.2,0,7999,0.072,12.82
"2013-04-18 00:00:00",7815,15.81,65.7,0,"NAN",0,12.81
"2013-04-18 01:00:00",7816,15.3,64.17,0,"NAN",0,12.8
"2013-04-18 02:00:00",7817,14.02,69.82,0,"NAN",0,12.79
"2013-04-18 03:00:00",7818,13.3,70.59,0,"NAN",0,12.79
"2013-04-18 04:00:00",7819,11.31,73.4,0,"NAN",0,12.77
"2013-04-18 05:00:00",7820,10.65,71.88,0,"NAN",0,12.77
"2013-04-18 06:00:00",7821,10.55,70.73,0,"NAN",0,12.54
"2013-04-18 07:00:00",7822,12.06,68.74,0,"NAN",0,12.56
"2013-04-18 08:00:00",7823,14.38,64.91,0,"NAN",0,12.91
"2013-04-18 09:00:00",7824,16.24,60.27,0,"NAN",0,13.69
"2013-04-18 10:00:00",7825,17.98,57.21,0,"NAN",0,13.72
"2013-04-18 11:00:00",7826,19.72,54.23,0,"NAN",0,13.68
"2013-04-18 12:00:00",7827,20.91,51.29,0,"NAN",0,13.64
"2013-04-18 13:00:00",7828,21.18,50.7,0,"NAN",0,13.63
"2013-04-18 14:00:00",7829,19.74,55.59,0,"NAN",0,13.62
"2013-04-18 15:00:00",7830,19.17,56.3,0,"NAN",0,13.64
"2013-04-18 16:00:00",7831,18.01,57.94,0,"NAN",0,13.67
"2013-04-18 17:00:00",7832,16.25,60.82,0,"NAN",0,13.36
"2013-04-18 18:00:00",7833,14.91,63.28,0,"NAN",0,12.83
"2013-04-18 19:00:00",7834,13.79,67.29,0,"NAN",0,12.72
"2013-04-18 20:00:00",7835,12.79,68.99,0,"NAN",0,12.67
"2013-04-18 21:00:00",7836,11.98,70.5,0,"NAN",0,12.62
"2013-04-18 22:00:00",7837,11.42,68.17,0,"NAN",0,12.66
"2013-04-18 23:00:00",7838,11.15,65.11,0,"NAN",0,12.79
"2013-04-19 00:00:00",7839,10.97,67.4,0,"NAN",0,12.78
"2013-04-19 01:00:00",7840,10.88,67.72,0,"NAN",0,12.78
"2013-04-19 02:00:00",7841,10.86,67.9,0,"NAN",0,12.77
"2013-04-19 03:00:00",7842,10.82,69.84,0,"NAN",0,12.76
"2013-04-19 04:00:00",7843,10.41,72.03,0,"NAN",0,12.76
"2013-04-19 05:00:00",7844,9.86,70.5,0,"NAN",0,12.76
"2013-04-19 06:00:00",7845,9.9,65.96,0,"NAN",0,12.53
"2013-04-19 07:00:00",7846,9.51,72,0,"NAN",0.431,12.57
