"TOA5","EntrenaPeral","CR800","6885","CR800.Std.21","CPU:MNEGRA_PERAL_2011.CR8","36978","Horario"
"TIMESTAMP","RECORD","Temperatura_Avg","Humedad_Avg","Lluvia_Tot","Humec_kOhm_Avg","Tiempo_Humectacion","Bateria_Min"
"TS","RN","grados C","%HR","mm","kOhms","kOhms","Volts"
"","","Avg","Avg","Tot","Avg","Hst,1,1.0000e+00,0.0000e+00,1.5000e+02","Min"
"2013-04-02 12:00:00",0,-12.9,22.93,0,"NAN",0.05,12.26
"2013-04-03 09:00:00",1,6.659,90,0,5144,0.555,12.57
"2013-04-03 10:00:00",2,6.741,90,0,7999,0,12.76
"2013-04-03 11:00:00",3,9.02,84.4,0,"NAN",0,12.94
"2013-04-03 12:00:00",4,11.54,78.6,0,"NAN",0.256,13.18
"2013-04-03 13:00:00",5,14.04,66.42,0,"NAN",0,13.32
"2013-04-03 14:00:00",6,14.26,65.34,0,"NAN",0,13.4
"2013-04-03 15:00:00",7,14.09,64.29,0,"NAN",0,13.36
"2013-04-03 16:00:00",8,13.76,63.98,0,"NAN",0,13.13
"2013-04-03 17:00:00",9,14.11,62.1,0,"NAN",0,13.19
"2013-04-03 18:00:00",10,14.44,51.56,0,"NAN",0,12.89
"2013-04-03 19:00:00",11,13.33,51.46,0,"NAN",0,12.65
"2013-04-03 20:00:00",12,10.68,75.78,0,"NAN",0.258,12.61
"2013-04-03 21:00:00",13,9.45,82,0,1116,0,12.59
"2013-04-03 22:00:00",14,9.39,82.6,0,939,0,12.62
"2013-04-03 23:00:00",15,9.41,80.5,0,1538,0,12.69
"2013-04-04 00:00:00",16,9.18,81.9,0,1232,0,12.68
"2013-04-04 01:00:00",17,8.85,83.6,0,1110,0,12.67
"2013-04-04 02:00:00",18,8.65,85.6,0,552.2,0.417,12.66
"2013-04-04 03:00:00",19,7.546,92.9,0,3.268,1,12.66
"2013-04-04 04:00:00",20,6.946,95.4,0,3.342,1,12.65
"2013-04-04 05:00:00",21,7.03,96.1,0,3.173,1,12.64
"2013-04-04 06:00:00",22,7.082,96.9,0,4.132,1,12.5
"2013-04-04 07:00:00",23,7.392,96.1,0,4.219,1,12.49
"2013-04-04 08:00:00",24,8.32,95.1,0,12.28,1,12.56
"2013-04-04 09:00:00",25,9.64,87.6,0,"NAN",0.547,12.91
"2013-04-04 10:00:00",26,11.46,76.39,0,"NAN",0,13.55
"2013-04-04 11:00:00",27,13.29,65.67,0,"NAN",0,13.72
"2013-04-04 12:00:00",28,10.95,74.5,0,"NAN",0.669,13.02
"2013-04-04 13:00:00",29,9.45,81.7,0,"NAN",0.547,13.12
"2013-04-04 14:00:00",30,8.38,89.3,0,34.27,1,13.27
"2013-04-04 15:00:00",31,7.898,85.8,0,47.91,0.883,12.95
"2013-04-04 16:00:00",32,7.475,86.5,0,13.59,1,12.81
"2013-04-04 17:00:00",33,6.374,85.8,0,42.26,0.983,12.59
"2013-04-04 18:00:00",34,5.473,83.9,0,7999,0.481,12.52
"2013-04-04 19:00:00",35,4.883,82.8,0,"INF",0,12.49
"2013-04-04 20:00:00",36,4.312,85.6,0,2958,0.767,12.47
"2013-04-04 21:00:00",37,4.012,86.4,0,8.87,1,12.46
"2013-04-04 22:00:00",38,3.566,87.4,0,32.5,1,12.5
"2013-04-04 23:00:00",39,2.872,91.2,0,2.952,1,12.6
"2013-04-05 00:00:00",40,2.467,92.6,0,4.127,1,12.59
"2013-04-05 01:00:00",41,2.455,90.3,0,16.78,1,12.58
"2013-04-05 02:00:00",42,2.579,87.8,0,66.39,0.981,12.58
"2013-04-05 03:00:00",43,2.756,84.4,0,397,0.403,12.58
"2013-04-05 04:00:00",44,2.938,82.1,0,31.91,1,12.57
"2013-04-05 05:00:00",45,2.984,82.4,0,7604,0.142,12.57
"2013-04-05 06:00:00",46,3.012,80.9,0,7999,0,12.41
"2013-04-05 07:00:00",47,3.33,80.5,0,"NAN",0,12.4
"2013-04-05 08:00:00",48,4.24,74.39,0,"NAN",0,12.7
"2013-04-05 09:00:00",49,4.978,68.76,0,"NAN",0,13.58
"2013-04-05 10:00:00",50,4.638,71.44,0,"NAN",0.153,13.47
"2013-04-05 11:00:00",51,5.358,71.6,0,"NAN",0.492,13.58
"2013-04-05 12:00:00",52,6.129,61.51,0,"NAN",0,13.49
"2013-04-05 13:00:00",53,5.575,68.17,0,"NAN",0.7,13.31
"2013-04-05 14:00:00",54,7.094,57.8,0,"NAN",0,13.92
"2013-04-05 15:00:00",55,7.129,57.75,0,"NAN",0,13.88
"2013-04-05 16:00:00",56,6.743,61.72,0,"NAN",0,13.64
"2013-04-05 17:00:00",57,6.18,59.2,0,"NAN",0,13.64
"2013-04-05 18:00:00",58,4.777,67.17,0,"NAN",0.083,13.17
"2013-04-05 19:00:00",59,4.152,67.87,0,"NAN",0,12.56
"2013-04-05 20:00:00",60,3.542,72.18,0,"NAN",0,12.51
"2013-04-05 21:00:00",61,3.041,73.16,0,7999,0,12.45
"2013-04-05 22:00:00",62,2.917,75.83,0,7999,0,12.51
"2013-04-05 23:00:00",63,2.562,79.96,0,7999,0,12.62
"2013-04-06 00:00:00",64,2.752,80.9,0,4538,0.844,12.61
"2013-04-06 01:00:00",65,2.691,78.72,0,7999,0,12.6
"2013-04-06 02:00:00",66,2.915,69.64,0,"NAN",0,12.6
"2013-04-06 03:00:00",67,3.123,70.21,0,"NAN",0.244,12.59
"2013-04-06 04:00:00",68,2.831,76.69,0,1347,0.708,12.59
"2013-04-06 05:00:00",69,2.884,79.53,0,113.6,0.717,12.58
"2013-04-06 06:00:00",70,2.878,80.9,0,1062,0.222,12.41
"2013-04-06 07:00:00",71,2.516,87.2,0,207.5,0.839,12.4
"2013-04-06 08:00:00",72,3.066,87.4,0,137,0.731,12.48
"2013-04-06 09:00:00",73,3.778,84.6,0,453.5,0.644,13.38
"2013-04-06 10:00:00",74,4.279,83.5,0,755.2,0.331,13.85
"2013-04-06 11:00:00",75,3.951,87.6,0,47.03,0.9,13.77
"2013-04-06 12:00:00",76,4.462,86.1,0,12.07,1,13.82
"2013-04-06 13:00:00",77,4.546,86.8,0,27.09,0.95,13.82
"2013-04-06 14:00:00",78,4.775,83.8,0,7999,0.094,13.62
"2013-04-06 15:00:00",79,4.663,83.9,0,7999,0,13.08
"2013-04-06 16:00:00",80,4.378,87.1,0,771.3,0.731,12.87
"2013-04-06 17:00:00",81,4.017,89.6,0,12.24,1,12.74
"2013-04-06 18:00:00",82,4.143,87.2,0,738.6,0.603,12.55
"2013-04-06 19:00:00",83,4.31,84.1,0,3726,0,12.47
"2013-04-06 20:00:00",84,4.31,83,0,6302,0,12.44
"2013-04-06 21:00:00",85,4.292,83.6,0,6680,0,12.41
"2013-04-06 22:00:00",86,4.239,84.3,0,6604,0,12.46
"2013-04-06 23:00:00",87,4.315,83.7,0,7731,0,12.58
"2013-04-07 00:00:00",88,4.218,85.6,0,4441,0,12.57
"2013-04-07 01:00:00",89,4.044,87,0,2827,0,12.57
"2013-04-07 02:00:00",90,4.085,84.9,0,6679,0,12.57
"2013-04-07 03:00:00",91,4.132,83.9,0,7999,0,12.57
"2013-04-07 04:00:00",92,4.187,83.3,0,7999,0,12.57
"2013-04-07 05:00:00",93,4.066,84.4,0,7999,0,12.56
"2013-04-07 06:00:00",94,2.292,90.3,0,160.5,0.736,12.39
"2013-04-07 07:00:00",95,2.499,90.1,0,"NAN",0.378,12.39
"2013-04-07 08:00:00",96,5.136,77.58,0,"NAN",0,12.72
"2013-04-07 09:00:00",97,6.466,76.2,0,"NAN",0,13.72
"2013-04-07 10:00:00",98,7.937,68.07,0,"NAN",0,13.87
"2013-04-07 11:00:00",99,9.13,66.12,0,"NAN",0,13.84
